datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-21 17:00:00+00:00,3407.10009765625,3408.300048828125,3406.199951171875,3407.300048828125,428,0.0,0.0
2025-07-21 17:30:00+00:00,3405.699951171875,3408.10009765625,3405.699951171875,3407.60009765625,3851,0.0,0.0
2025-07-21 18:00:00+00:00,3407.5,3409.300048828125,3407.0,3407.5,2265,0.0,0.0
2025-07-21 18:30:00+00:00,3407.5,3408.699951171875,3406.199951171875,3408.199951171875,1659,0.0,0.0
2025-07-21 19:00:00+00:00,3408.300048828125,3412.10009765625,3407.89990234375,3411.10009765625,2545,0.0,0.0
2025-07-21 19:30:00+00:00,3411.10009765625,3412.39990234375,3409.199951171875,3409.800048828125,2201,0.0,0.0
2025-07-21 20:00:00+00:00,3409.89990234375,3410.800048828125,3409.39990234375,3410.60009765625,1076,0.0,0.0
2025-07-21 20:30:00+00:00,3410.699951171875,3411.5,3410.0,3410.300048828125,1020,0.0,0.0
2025-07-21 22:00:00+00:00,3410.699951171875,3413.89990234375,3410.5,3413.699951171875,614,0.0,0.0
2025-07-21 22:30:00+00:00,3413.800048828125,3414.800048828125,3412.699951171875,3412.89990234375,844,0.0,0.0
2025-07-21 23:00:00+00:00,3413.0,3415.60009765625,3412.89990234375,3415.199951171875,824,0.0,0.0
2025-07-21 23:30:00+00:00,3415.199951171875,3416.300048828125,3408.39990234375,3410.89990234375,2927,0.0,0.0
2025-07-22 00:00:00+00:00,3411.10009765625,3411.10009765625,3406.699951171875,3409.10009765625,2212,0.0,0.0
2025-07-22 00:30:00+00:00,3409.0,3411.199951171875,3406.60009765625,3407.89990234375,2475,0.0,0.0
2025-07-22 01:00:00+00:00,3408.199951171875,3409.0,3403.0,3404.199951171875,3846,0.0,0.0
2025-07-22 01:30:00+00:00,3404.199951171875,3405.60009765625,3399.60009765625,3400.89990234375,3866,0.0,0.0
2025-07-22 02:00:00+00:00,3400.800048828125,3405.199951171875,3400.199951171875,3403.5,2391,0.0,0.0
2025-07-22 02:30:00+00:00,3403.699951171875,3405.800048828125,3402.300048828125,3405.699951171875,1751,0.0,0.0
2025-07-22 03:00:00+00:00,3405.60009765625,3405.89990234375,3401.89990234375,3403.699951171875,1451,0.0,0.0
2025-07-22 03:30:00+00:00,3403.699951171875,3406.60009765625,3402.60009765625,3405.60009765625,2203,0.0,0.0
2025-07-22 04:00:00+00:00,3405.60009765625,3405.60009765625,3401.10009765625,3402.60009765625,1801,0.0,0.0
2025-07-22 04:30:00+00:00,3402.60009765625,3404.89990234375,3401.0,3404.5,1705,0.0,0.0
2025-07-22 05:00:00+00:00,3404.5,3405.199951171875,3400.199951171875,3401.0,1731,0.0,0.0
2025-07-22 05:30:00+00:00,3401.10009765625,3403.10009765625,3398.60009765625,3399.5,2503,0.0,0.0
2025-07-22 06:00:00+00:00,3399.39990234375,3401.199951171875,3397.60009765625,3397.89990234375,2446,0.0,0.0
